vendorid,pickup_datetime,dropoff_datetime,Store_and_fwd_flag,rate_code,Pickup_longitude,Pickup_latitude,Dropoff_longitude,Dropoff_latitude,Passenger_count,Trip_distance,Fare_amount,Extra,MTA_tax,Tip_amount,Tolls_amount,Ehail_fee,Improvement_surcharge,Total_amount,Payment_type,Trip_type
1,11/12/2015 09:51:14 PM,11/12/2015 09:59:13 PM,N,1,-73.87919616699219,40.7481803894043,-73.90305328369139,40.745750427246094,1,1.3,7.0,0.5,0.5,2.0,0.0,,0.3,10.3,1,1.0
1,08/01/2015 04:44:03 PM,08/01/2015 04:51:14 PM,N,1,-73.92362976074217,40.755813598632805,-73.90856170654298,40.75962066650391,1,1.1,7.0,0.0,0.5,1.55,0.0,,0.3,9.35,1,1.0
2,11/24/2015 12:53:07 AM,11/24/2015 01:00:10 AM,N,1,-73.94204711914062,40.82271957397461,-73.94536590576173,40.802772521972656,1,1.79,8.0,0.5,0.5,0.0,0.0,,0.3,9.3,1,1.0
2,02/08/2015 02:01:21 PM,02/08/2015 02:23:54 PM,N,1,-73.87086486816406,40.73403549194336,-73.87466430664062,40.745750427246094,1,1.2,14.0,0.0,0.5,0.0,0.0,,0.3,14.8,2,1.0
1,06/05/2015 01:18:01 AM,06/05/2015 01:26:36 AM,N,1,-73.94440460205078,40.823829650878906,-73.93589782714844,40.814956665039055,1,1.2,7.5,0.5,0.5,1.75,0.0,,0.3,10.55,1,1.0
1,10/02/2015 05:50:45 AM,10/02/2015 06:04:44 AM,N,1,-73.94171142578125,40.79862594604492,-73.90721130371092,40.8364372253418,1,4.2,15.0,0.5,0.5,0.0,0.0,,0.3,16.3,2,1.0
2,12/10/2015 05:41:19 PM,12/10/2015 05:45:32 PM,N,1,-73.92821502685547,40.76332092285156,-73.93828582763672,40.75070571899414,1,1.09,5.5,1.0,0.5,1.46,0.0,,0.3,8.76,1,1.0
2,08/29/2015 12:23:11 AM,08/29/2015 12:26:31 AM,N,1,-73.95401763916014,40.80624771118164,-73.94575500488281,40.817508697509766,1,0.82,5.0,0.5,0.5,0.0,0.0,,0.3,6.3,2,1.0
2,11/26/2015 03:16:38 PM,11/26/2015 03:28:28 PM,N,1,-73.9521942138672,40.69507598876953,-73.98735809326173,40.693359375,1,1.89,10.0,0.0,0.5,0.0,0.0,,0.3,10.8,2,1.0
2,07/27/2015 08:54:53 AM,07/27/2015 09:08:04 AM,N,1,-73.90411376953125,40.81332778930664,-73.84664916992188,40.82681274414063,2,3.86,14.0,0.0,0.5,2.96,0.0,,0.3,17.76,1,1.0
2,09/23/2015 03:36:21 PM,09/23/2015 03:46:28 PM,N,1,-73.9446029663086,40.68741989135742,-73.93355560302734,40.70567321777344,1,2.03,9.0,0.0,0.5,1.0,0.0,,0.3,10.8,1,1.0
2,08/14/2015 10:10:50 AM,08/14/2015 10:55:34 AM,N,1,-73.9872055053711,40.69219970703125,-73.97689819335938,40.74771881103516,1,6.18,32.5,0.0,0.5,6.66,0.0,,0.3,39.96,1,1.0
